Mode,M,N,K,Time_ms,TFLOPS,Precision
rtx4090_benchmark_fp16,8192,4096,8192,3.1660032272338863,173.64347867968462,fp16
rtx4090_benchmark_fp16,4096,8192,8192,3.1680511474609374,173.53123049437085,fp16
rtx4090_benchmark_fp16,12288,16384,2048,4.759756851196289,173.25122829010508,fp16
rtx4090_benchmark_fp16,12288,12288,2048,3.571948623657226,173.14786851294605,fp16
rtx4090_benchmark_fp16,16384,4096,4096,3.1752191543579107,173.13948649291612,fp16
rtx4090_benchmark_fp16,16384,2048,8192,3.1752191543579107,173.13948649291612,fp16
rtx4090_benchmark_fp16,12288,16384,4096,9.53876495361328,172.90157055806878,fp16
rtx4090_benchmark_fp16,16384,8192,2048,3.1875072479248048,172.4720200231429,fp16
rtx4090_benchmark_fp16,12288,8192,4096,4.790867233276367,172.12618940977237,fp16
rtx4090_benchmark_fp16,4096,12288,8192,4.791507339477539,172.1031947583153,fp16
rtx4090_benchmark_fp16,4096,4096,4096,0.799948787689209,171.80969030407095,fp16
rtx4090_benchmark_fp16,16384,12288,2048,4.799692916870118,171.80968347653044,fp16
rtx4090_benchmark_fp16,16384,4096,2048,1.600262451171875,171.77051598174188,fp16
rtx4090_benchmark_fp16,4096,16384,2048,1.600543975830078,171.74030273141489,fp16
rtx4090_torch_compile_benchmark,16384,8192,4096,6.40901107788086,171.55714265664113,fp16
rtx4090_benchmark_fp16,8192,12288,2048,2.403942489624024,171.5169402744266,fp16
rtx4090_benchmark_fp16,8192,16384,2048,3.2059391021728514,171.48042940534913,fp16
rtx4090_benchmark_fp16,12288,4096,8192,4.810540771484375,171.42224959825984,fp16
rtx4090_benchmark_fp16,8192,2048,4096,0.8021504402160644,171.33812634320805,fp16
rtx4090_benchmark_fp16,8192,8192,4096,3.21003532409668,171.26160879326272,fp16
rtx4090_torch_compile_benchmark,8192,16384,4096,6.423961639404297,171.1578756995752,fp16
rtx4090_benchmark_fp16,8192,4096,4096,1.6062463760375978,171.13060053843563,fp16
rtx4090_benchmark_fp16,4096,16384,4096,3.2128894805908206,171.10946928274203,fp16
