Type,M,N,K,Time_ms,TFLOPS,Mode
Fixed_K,2048,2048,8192,0.2294988822937011,299.43272947210374,rtx4090_pytorch_eager
Square,32768,32768,32768,235.11435546875,299.29582154764256,rtx4090_pytorch_eager
Square,32768,32768,32768,235.4845703125,298.8252864477749,rtx4090_torch_aoti_benchmark
Square,16384,16384,16384,29.81312744140625,295.0409358929403,rtx4090_pytorch_eager
Square,32768,32768,32768,238.93,294.516,rtx4090_benchmark_cuda
Fixed_K,2048,2048,8192,0.235817,291.41,rtx4090_benchmark_cuda
Square,32768,32768,32768,245.17716796875,287.0118158254977,rtx4090_benchmark_jit
Square,2048,2048,2048,0.0598937606811523,286.83904614802793,rtx4090_pytorch_eager
Fixed_K,2048,2048,8192,0.2431795120239258,282.5874439999652,rtx4090_torch_aoti_benchmark
Square,16384,16384,16384,31.3042,280.987,rtx4090_benchmark_cuda
Square,2048,2048,2048,0.0614314,279.66,rtx4090_benchmark_cuda
Square,16384,16384,16384,31.89171142578125,275.8112571875726,rtx4090_benchmark_jit
Square,4096,4096,4096,0.504890251159668,272.2155025895636,rtx4090_torch_aoti_benchmark
Fixed_K,32768,32768,8192,67.47432861328124,260.72413621546224,rtx4090_torch_aoti_benchmark
Fixed_K,32768,32768,8192,67.506552734375,260.59968005828694,rtx4090_pytorch_eager
Fixed_K,16384,16384,8192,16.977920532226562,259.04506401451624,rtx4090_torch_aoti_benchmark
Fixed_K,4096,4096,8192,1.064752655029297,258.16127872105346,rtx4090_torch_aoti_benchmark
Fixed_K,16384,16384,8192,17.10107666015625,257.1795097177125,rtx4090_pytorch_eager
Square,4096,4096,4096,0.5392076873779297,254.8905675665364,rtx4090_pytorch_eager
Square,8192,8192,8192,4.315411376953125,254.7872107044184,rtx4090_torch_aoti_benchmark
Square,2048,2048,2048,0.0676761579513549,253.8540854572261,rtx4090_torch_aoti_benchmark
Fixed_K,32768,32768,8192,69.75263671875,252.20818698724685,rtx4090_benchmark_jit
Square,8192,8192,8192,4.377661437988281,251.16415313315596,rtx4090_pytorch_eager
Fixed_K,8192,8192,8192,4.378931045532227,251.0913317298794,rtx4090_torch_aoti_benchmark
Fixed_K,8192,8192,8192,4.399052429199219,249.94283325151216,rtx4090_pytorch_eager
Fixed_K,16384,16384,8192,17.898270263671876,245.72466759710943,rtx4090_benchmark_jit
Fixed_K,4096,4096,8192,1.1210444641113282,245.1980414192586,rtx4090_pytorch_eager
Square,2048,2048,2048,0.0701542377471923,244.8871192344692,rtx4090_benchmark_jit
Square,8192,8192,8192,4.733390197753907,232.28839834453996,rtx4090_benchmark_jit
Fixed_K,8192,8192,8192,4.743487854003906,231.7939165476979,rtx4090_benchmark_jit
Fixed_K,1024,1024,8192,0.0744243192672729,230.8367661691816,rtx4090_pytorch_eager
Fixed_K,1024,1024,8192,0.07449471950531,230.6186169715748,rtx4090_torch_aoti_benchmark
Fixed_K,32768,32768,8192,77.4786,227.059,rtx4090_benchmark_cuda
Fixed_K,16384,16384,8192,19.5774,224.649,rtx4090_benchmark_cuda
Square,4096,4096,4096,0.612516,224.384,rtx4090_benchmark_cuda
Square,8192,8192,8192,5.00045,219.883,rtx4090_benchmark_cuda
Fixed_K,4096,4096,8192,1.25518,218.996,rtx4090_benchmark_cuda
Fixed_K,8192,8192,8192,5.02521,218.799,rtx4090_benchmark_cuda
Square,4096,4096,4096,0.6304163360595703,218.01299492183992,rtx4090_benchmark_jit
Fixed_K,1024,1024,8192,0.0798925,215.037,rtx4090_benchmark_cuda
Fixed_K,4096,4096,8192,1.2990284729003907,211.60268052498455,rtx4090_benchmark_jit
Fixed_K,2048,2048,8192,0.3742899322509765,183.59958634933523,rtx4090_benchmark_jit
Fixed_K,1024,1024,8192,0.0950144004821777,180.8133198422117,rtx4090_benchmark_jit
Square,16384,16384,16384,54.12208862304688,162.52316283415473,rtx4090_torch_aoti_benchmark
Square,1024,1024,1024,0.0232652807235717,92.30422248136578,rtx4090_pytorch_eager
Square,1024,1024,1024,0.0236134409904479,90.94327458961574,rtx4090_torch_aoti_benchmark
Square,1024,1024,1024,0.0263754,81.4201,rtx4090_benchmark_cuda
Square,1024,1024,1024,0.0355942392349243,60.33233731521741,rtx4090_benchmark_jit
