TypeMaria20041590
M,N,K,Time_ms,TFLOPS,Mode,Precision
Fixed_K,2046,2046,8192,0.218757,313.523,rtx4090_benchmark_cuda,
Fixed_K,2046,2046,8192,0.2234582328796386,306.92681876233274,rtx4090_pytorch_eager,
Square,32768,32768,32768,235.171,299.224,rtx4090_benchmark_cuda,
Square,32768,32768,32768,235.449658203125,298.8695957968055,rtx4090_torch_aoti_benchmark,fp16
Square,32768,32768,32768,235.61572265625,298.6589493449383,rtx4090_pytorch_eager,
Square,16384,16384,16384,29.808,295.091,rtx4090_benchmark_cuda,
Square,16384,16384,16384,29.87230224609375,294.45648178517007,rtx4090_pytorch_eager,
Square,16384,16384,16384,29.9085693359375,294.09942426229003,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,2046,2046,8192,0.240199031829834,285.5353913024446,rtx4090_torch_aoti_benchmark,fp16
Square,16384,16384,16384,31.73125,277.2060042452787,rtx4090_benchmark_jit,
Square,4096,4096,4096,0.5069100952148438,271.1308272796367,rtx4090_pytorch_eager,
Square,2046,2046,2046,0.0637328004837036,268.771912453149,rtx4090_pytorch_eager,
Square,4096,4096,4096,0.5204377746582032,264.0833547531458,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,32768,32768,8192,67.36967163085937,261.12916418547184,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,32768,32768,8192,67.502548828125,260.615137499611,rtx4090_pytorch_eager,
Fixed_K,32768,32768,8192,67.5091,260.59,rtx4090_benchmark_cuda,
Fixed_K,16384,16384,8192,17.01529541015625,258.4760596327263,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,16384,16384,8192,17.0625146484375,257.76074639190136,rtx4090_pytorch_eager,
Fixed_K,8192,8192,8192,4.274585723876953,257.22062880488164,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,16384,16384,8192,17.1194,256.904,rtx4090_benchmark_cuda,
Fixed_K,4096,4096,8192,1.0751696014404295,255.66004337896055,rtx4090_pytorch_eager,
Square,8192,8192,8192,4.305270385742188,255.38735764825947,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,32768,32768,8192,69.21912231445313,254.152110806853,rtx4090_benchmark_jit,
Square,8192,8192,8192,4.326647644042969,254.1255304877516,rtx4090_pytorch_eager,
Fixed_K,4096,4096,8192,1.082449951171875,253.9405232051731,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,8192,8192,8192,4.3406298828125,253.30692951493344,rtx4090_pytorch_eager,
Square,4096,4096,4096,0.545106,252.133,rtx4090_benchmark_cuda,
Square,8192,8192,8192,4.39699,250.06,rtx4090_benchmark_cuda,
Fixed_K,8192,8192,8192,4.40152,249.803,rtx4090_benchmark_cuda,
Fixed_K,16384,16384,8192,17.76890869140625,247.51359734495512,rtx4090_benchmark_jit,
Fixed_K,4096,4096,8192,1.11397,246.755,rtx4090_benchmark_cuda,
Square,2046,2046,2046,0.0696627,245.893,rtx4090_benchmark_cuda,
Fixed_K,1024,1024,8192,0.0708083200454711,242.62500752690576,rtx4090_pytorch_eager,
Fixed_K,8192,8192,8192,4.644351959228516,236.741667605795,rtx4090_benchmark_jit,
Square,2046,2046,2046,0.0724771213531494,236.344743723126,rtx4090_torch_aoti_benchmark,fp16
Square,8192,8192,8192,4.684953689575195,234.6899672077009,rtx4090_benchmark_jit,
Fixed_K,1024,1024,8192,0.0735027,233.731,rtx4090_benchmark_cuda,
Square,2046,2046,2046,0.0748966407775879,228.70967902108987,rtx4090_benchmark_jit,
Square,4096,4096,4096,0.6219264030456543,220.98909581414077,rtx4090_benchmark_jit,
Fixed_K,4096,4096,8192,1.2798975944519042,214.7655469746485,rtx4090_benchmark_jit,
Fixed_K,1024,1024,8192,0.0841910362243652,204.05817477072543,rtx4090_torch_aoti_benchmark,fp16
Fixed_K,2046,2046,8192,0.3659161758422851,187.43452482286875,rtx4090_benchmark_jit,
Fixed_K,1024,1024,8192,0.093786563873291,183.18049488635296,rtx4090_benchmark_jit,
Square,1024,1024,1024,0.0208166408538818,103.16187242090706,rtx4090_pytorch_eager,
Square,1024,1024,1024,0.0233779,91.8595,rtx4090_benchmark_cuda,
Square,1024,1024,1024,0.0234188795089721,91.69882133674513,rtx4090_torch_aoti_benchmark,fp16
Square,1024,1024,1024,0.034047999382019,63.07224174628302,rtx4090_benchmark_jit,
