Kernel,Type,M,N,K,Time_ms,TFLOPS,Mode
,Square,16384,16384,16384,50.60444030761719,173.82057718132643,rtx4090_torch_aoti_benchmark
,Square,16384,16384,16384,50.8417724609375,173.00917329281097,rtx4090_benchmark_jit
,Fixed_K,16384,16384,8192,25.47333068847656,172.6529822459988,rtx4090_torch_aoti_benchmark
,Fixed_K,32768,32768,8192,101.91664428710938,172.61347415302504,rtx4090_torch_aoti_benchmark
,Square,32768,32768,32768,407.7490234375,172.5785719470893,rtx4090_torch_aoti_benchmark
,Square,32768,32768,32768,408.8883984375,172.09767860024064,rtx4090_benchmark_jit
,Square,8192,8192,8192,6.394345092773437,171.95062384396675,rtx4090_benchmark_jit
,Fixed_K,32768,32768,8192,102.4245703125,171.7574795846523,rtx4090_benchmark_jit
,Fixed_K,16384,16384,8192,25.61751953125,171.6812006618737,rtx4090_benchmark_jit
,Fixed_K,8192,8192,8192,6.422076416015625,171.20811970315316,rtx4090_benchmark_jit
,Fixed_K,32768,32768,8192,102.761015625,171.19513599022974,rtx4090_pytorch_eager
,Fixed_K,16384,16384,8192,25.7057275390625,171.0920846111325,rtx4090_pytorch_eager
,Fixed_K,4096,4096,8192,1.6160255432128907,170.09502609562918,rtx4090_benchmark_jit
,Fixed_K,2046,2046,8192,0.4038991928100586,169.80802577700018,rtx4090_pytorch_eager
,Square,16384,16384,16384,52.266279296875,168.29384338314512,rtx4090_pytorch_eager
,Square,32768,32768,32768,421.8528125,166.8087591040157,rtx4090_pytorch_eager
31.0,Square,8192,8192,8192,6.6,166.5927,benchmark_mma-matmul
31.0,Fixed_K,8192,8192,8192,6.6,166.5927,benchmark_mma-matmul
31.0,Square,16384,16384,16384,53.91,163.1625,benchmark_mma-matmul
,Square,8192,8192,8192,6.821580505371093,161.18136067004997,rtx4090_torch_aoti_benchmark
,Fixed_K,4096,4096,8192,1.7073951721191407,160.9925525341823,rtx4090_torch_aoti_benchmark
,Fixed_K,8192,8192,8192,6.839376068115234,160.76197840645992,rtx4090_torch_aoti_benchmark
,Square,4096,4096,4096,0.8561254119873047,160.53600506141507,rtx4090_pytorch_eager
31.0,Fixed_K,16384,16384,8192,27.43,160.3371,benchmark_mma-matmul
31.0,Square,32768,32768,32768,438.97,160.3042,benchmark_mma-matmul
,Fixed_K,4096,4096,8192,1.7151487731933597,160.26476025879495,rtx4090_pytorch_eager
,Square,4096,4096,4096,0.8613887786865234,159.55507765212806,rtx4090_torch_aoti_benchmark
,Square,4096,4096,4096,0.8620217895507812,159.43791112707547,rtx4090_benchmark_jit
,Fixed_K,2046,2046,8192,0.4356300735473633,157.43937048584675,rtx4090_torch_aoti_benchmark
,Square,8192,8192,8192,7.058196411132813,155.77798685819408,rtx4090_pytorch_eager
31.0,Fixed_K,4096,4096,8192,1.77,155.2983,benchmark_mma-matmul
31.0,Fixed_K,32768,32768,8192,114.66,153.4291,benchmark_mma-matmul
31.0,Square,4096,4096,4096,0.89738,153.1558,benchmark_mma-matmul
,Fixed_K,8192,8192,8192,7.208990478515625,152.51950062256094,rtx4090_pytorch_eager
,Square,2046,2046,2046,0.1136947154998779,150.66299780677485,rtx4090_pytorch_eager
,Fixed_K,2046,2046,8192,0.462039,148.441,rtx4090_benchmark_cuda
31.0,Fixed_K,2046,2046,8192,0.46365,147.9248,benchmark_mma-matmul
,Fixed_K,1024,1024,8192,0.1162035179138183,147.84293532955988,rtx4090_pytorch_eager
,Square,4096,4096,4096,0.960696,143.062,rtx4090_benchmark_cuda
,Fixed_K,1024,1024,8192,0.1232076835632324,139.43829383970993,rtx4090_torch_aoti_benchmark
,Fixed_K,4096,4096,8192,2.23465,123.007,rtx4090_benchmark_cuda
,Square,2046,2046,2046,0.140008316040039,122.34692307206484,rtx4090_torch_aoti_benchmark
,Square,2046,2046,2046,0.141332,121.201,rtx4090_benchmark_cuda
31.0,Square,2046,2046,2046,0.14605,117.2858,benchmark_mma-matmul
,Fixed_K,1024,1024,8192,0.146883,116.963,rtx4090_benchmark_cuda
,Square,1024,1024,1024,0.0234473609924316,91.5874348799068,rtx4090_torch_aoti_benchmark
,Fixed_K,2046,2046,8192,0.8152063751220703,84.13246833813085,rtx4090_benchmark_jit
,Fixed_K,1024,1024,8192,0.2145587158203125,80.07071219790348,rtx4090_benchmark_jit
,Square,2046,2046,2046,0.225157127380371,76.07836745519491,rtx4090_benchmark_jit
31.0,Fixed_K,1024,1024,8192,0.23136,74.256,benchmark_mma-matmul
,Square,1024,1024,1024,0.0353791999816894,60.69904489393295,rtx4090_benchmark_jit
,Square,1024,1024,1024,0.037161,57.7887,rtx4090_benchmark_cuda
,Square,1024,1024,1024,0.0389628791809082,55.11614370254922,rtx4090_pytorch_eager
,Square,8192,8192,8192,,,rtx4090_benchmark_cuda
,Square,16384,16384,16384,,,rtx4090_benchmark_cuda
,Square,32768,32768,32768,,,rtx4090_benchmark_cuda
,Fixed_K,8192,8192,8192,,,rtx4090_benchmark_cuda
,Fixed_K,16384,16384,8192,,,rtx4090_benchmark_cuda
,Fixed_K,32768,32768,8192,,,rtx4090_benchmark_cuda
