Type,M,N,K,Kernel,Execution Time (ms),TFLOP/s,% 4090 peak FP16/32
Fixed_K,1024,1024,8192,PyTorch Eager,0.1162,147.84,89.49
Fixed_K,1024,1024,8192,Torch AOTI,0.1232,139.44,84.41
Fixed_K,1024,1024,8192,Native CUDA,0.1469,116.96,70.8
Fixed_K,1024,1024,8192,Torch JIT,0.2146,80.07,48.47
Fixed_K,1024,1024,8192,MMA MatMul with kernel 3.1,0.2314,74.26,44.95
Fixed_K,2046,2046,8192,PyTorch Eager,0.4039,169.81,102.79
Fixed_K,2046,2046,8192,Torch AOTI,0.4356,157.44,95.3
Fixed_K,2046,2046,8192,Native CUDA,0.462,148.44,89.86
Fixed_K,2046,2046,8192,MMA MatMul with kernel 3.1,0.4637,147.92,89.54
Fixed_K,2046,2046,8192,Torch JIT,0.8152,84.13,50.93
Fixed_K,4096,4096,8192,Torch JIT,1.616,170.1,102.96
Fixed_K,4096,4096,8192,Torch AOTI,1.7074,160.99,97.45
Fixed_K,4096,4096,8192,PyTorch Eager,1.7151,160.26,97.01
Fixed_K,4096,4096,8192,MMA MatMul with kernel 3.1,1.77,155.3,94.01
Fixed_K,4096,4096,8192,Native CUDA,2.2346,123.01,74.46
Fixed_K,8192,8192,8192,Torch JIT,6.4221,171.21,103.64
Fixed_K,8192,8192,8192,MMA MatMul with kernel 3.1,6.6,166.59,100.84
Fixed_K,8192,8192,8192,Torch AOTI,6.8394,160.76,97.31
Fixed_K,8192,8192,8192,PyTorch Eager,7.209,152.52,92.32
Fixed_K,16384,16384,8192,Torch AOTI,25.4733,172.65,104.51
Fixed_K,16384,16384,8192,Torch JIT,25.6175,171.68,103.92
Fixed_K,16384,16384,8192,PyTorch Eager,25.7057,171.09,103.57
Fixed_K,16384,16384,8192,MMA MatMul with kernel 3.1,27.43,160.34,97.06
Fixed_K,32768,32768,8192,Torch AOTI,101.9166,172.61,104.49
Fixed_K,32768,32768,8192,Torch JIT,102.4246,171.76,103.97
Fixed_K,32768,32768,8192,PyTorch Eager,102.761,171.2,103.63
Fixed_K,32768,32768,8192,MMA MatMul with kernel 3.1,114.66,153.43,92.87
Square,1024,1024,1024,Torch AOTI,0.0234,91.59,55.44
Square,1024,1024,1024,Torch JIT,0.0354,60.7,36.74
Square,1024,1024,1024,Native CUDA,0.0372,57.79,34.98
Square,1024,1024,1024,PyTorch Eager,0.039,55.12,33.36
Square,2046,2046,2046,PyTorch Eager,0.1137,150.66,91.2
Square,2046,2046,2046,Torch AOTI,0.14,122.35,74.06
Square,2046,2046,2046,Native CUDA,0.1413,121.2,73.37
Square,2046,2046,2046,MMA MatMul with kernel 3.1,0.1461,117.29,71.0
Square,2046,2046,2046,Torch JIT,0.2252,76.08,46.05
Square,4096,4096,4096,PyTorch Eager,0.8561,160.54,97.18
Square,4096,4096,4096,Torch AOTI,0.8614,159.56,96.58
Square,4096,4096,4096,Torch JIT,0.862,159.44,96.51
Square,4096,4096,4096,MMA MatMul with kernel 3.1,0.8974,153.16,92.71
Square,4096,4096,4096,Native CUDA,0.9607,143.06,86.6
Square,8192,8192,8192,Torch JIT,6.3943,171.95,104.09
Square,8192,8192,8192,MMA MatMul with kernel 3.1,6.6,166.59,100.84
Square,8192,8192,8192,Torch AOTI,6.8216,161.18,97.57
Square,8192,8192,8192,PyTorch Eager,7.0582,155.78,94.3
Square,16384,16384,16384,Torch AOTI,50.6044,173.82,105.22
Square,16384,16384,16384,Torch JIT,50.8418,173.01,104.73
Square,16384,16384,16384,PyTorch Eager,52.2663,168.29,101.87
Square,16384,16384,16384,MMA MatMul with kernel 3.1,53.91,163.16,98.77
Square,32768,32768,32768,Torch AOTI,407.749,172.58,104.47
Square,32768,32768,32768,Torch JIT,408.8884,172.1,104.18
Square,32768,32768,32768,PyTorch Eager,421.8528,166.81,100.97
Square,32768,32768,32768,MMA MatMul with kernel 3.1,438.97,160.3,97.04
