Kernel,Type,M,N,K,Time_ms,TFLOPS,Mode,Precision
,Square,16384,16384,16384,50.952294921875,172.6338928539926,rtx4090_torch_aoti_benchmark,fp16
,Fixed_K,32768,32768,8192,102.01292724609377,172.45055621212586,rtx4090_torch_aoti_benchmark,fp16
,Square,32768,32768,32768,408.083154296875,172.43726783799482,rtx4090_torch_aoti_benchmark,fp16
,Fixed_K,16384,16384,8192,25.530450439453126,172.26670252192417,rtx4090_torch_aoti_benchmark,fp16
31.0,Square,8192,8192,8192,6.6,166.5927,benchmark_mma-matmul,
31.0,Fixed_K,8192,8192,8192,6.6,166.5927,benchmark_mma-matmul,
,Fixed_K,32768,32768,8192,107.585986328125,163.51744911053595,rtx4090_pytorch_eager_specific,
,Fixed_K,16384,16384,8192,26.90126953125,163.48843707896336,rtx4090_pytorch_eager_specific,
,Square,32768,32768,32768,430.82796875,163.33374172951486,rtx4090_pytorch_eager_specific,
,Square,16384,16384,16384,53.908994140625,163.16559346781426,rtx4090_pytorch_eager_specific,
31.0,Square,16384,16384,16384,53.91,163.1625,benchmark_mma-matmul,
,Square,8192,8192,8192,6.7856591796875,162.03460837929026,rtx4090_pytorch_eager_specific,
,Fixed_K,8192,8192,8192,6.78956298828125,161.94144301684088,rtx4090_pytorch_eager_specific,
,Fixed_K,4096,4096,8192,1.7139181518554687,160.37983298468495,rtx4090_pytorch_eager_specific,
31.0,Fixed_K,16384,16384,8192,27.43,160.3371,benchmark_mma-matmul,
31.0,Square,32768,32768,32768,438.97,160.3042,benchmark_mma-matmul,
,Square,4096,4096,4096,0.8586966705322265,160.05530030390628,rtx4090_pytorch_eager_specific,
,Fixed_K,2046,2046,8192,0.4285235214233398,160.05031489565383,rtx4090_pytorch_eager_specific,
,Fixed_K,4096,4096,8192,1.718074951171875,159.99180172931898,rtx4090_torch_aoti_benchmark,fp16
,Square,4096,4096,4096,0.8640716552734375,159.05967130527748,rtx4090_torch_aoti_benchmark,fp16
,Square,8192,8192,8192,7.004569244384766,156.97062723127863,rtx4090_torch_aoti_benchmark,fp16
,Fixed_K,2046,2046,8192,0.4376678466796875,156.7063357848058,rtx4090_torch_aoti_benchmark,fp16
,Fixed_K,8192,8192,8192,7.073792266845703,155.4345372749102,rtx4090_torch_aoti_benchmark,fp16
31.0,Fixed_K,4096,4096,8192,1.77,155.2983,benchmark_mma-matmul,
31.0,Fixed_K,32768,32768,8192,114.66,153.4291,benchmark_mma-matmul,
31.0,Square,4096,4096,4096,0.89738,153.1558,benchmark_mma-matmul,
,Square,2046,2046,2046,0.1132630443572998,151.23720865177324,rtx4090_pytorch_eager_specific,
31.0,Fixed_K,2046,2046,8192,0.46365,147.9248,benchmark_mma-matmul,
,Fixed_K,1024,1024,8192,0.1180160045623779,145.57236747427334,rtx4090_pytorch_eager_specific,
,Square,2046,2046,2046,0.1209424018859863,141.6342523786508,rtx4090_torch_aoti_benchmark,fp16
,Fixed_K,1024,1024,8192,0.128089599609375,134.1238417201094,rtx4090_torch_aoti_benchmark,fp16
31.0,Square,2046,2046,2046,0.14605,117.2858,benchmark_mma-matmul,
,Square,1024,1024,1024,0.0208371210098266,103.06047783603404,rtx4090_pytorch_eager_specific,
,Square,1024,1024,1024,0.0240409588813781,89.32603972229302,rtx4090_torch_aoti_benchmark,fp16
31.0,Fixed_K,1024,1024,8192,0.23136,74.256,benchmark_mma-matmul,
