Type,M,N,K,Time_ms,TFLOPS
Square,1024,1024,1024,0.02083712100982666,103.06047783603405
Square,2046,2046,2046,0.11326304435729981,151.23720865177324
Square,4096,4096,4096,0.8586966705322265,160.05530030390628
Square,8192,8192,8192,6.7856591796875,162.03460837929026
Square,16384,16384,16384,53.908994140625,163.16559346781426
Square,32768,32768,32768,430.82796875,163.33374172951486
Fixed_K,1024,1024,8192,0.11801600456237793,145.57236747427334
Fixed_K,2046,2046,8192,0.4285235214233398,160.05031489565383
Fixed_K,4096,4096,8192,1.7139181518554687,160.37983298468495
Fixed_K,8192,8192,8192,6.78956298828125,161.94144301684088
Fixed_K,16384,16384,8192,26.90126953125,163.48843707896336
Fixed_K,32768,32768,8192,107.585986328125,163.51744911053595
