Type,M,N,K,Time_ms,TFLOPS
Square,1024,1024,1024,0.020816640853881838,103.16187242090706
Square,2046,2046,2046,0.06373280048370361,268.771912453149
Square,4096,4096,4096,0.5069100952148438,271.1308272796367
Square,8192,8192,8192,4.326647644042969,254.12553048775158
Square,16384,16384,16384,29.87230224609375,294.45648178517007
Square,32768,32768,32768,235.61572265625,298.6589493449383
Fixed_K,1024,1024,8192,0.07080832004547119,242.62500752690576
Fixed_K,2046,2046,8192,0.22345823287963867,306.92681876233274
Fixed_K,4096,4096,8192,1.0751696014404297,255.66004337896058
Fixed_K,8192,8192,8192,4.3406298828125,253.30692951493344
Fixed_K,16384,16384,8192,17.0625146484375,257.76074639190136
Fixed_K,32768,32768,8192,67.502548828125,260.615137499611
